,ZIP,protected,not_protected,bin
1691,85226,0.159,0.841,"(0.139, 0.278]"
1698,14150,0.038,0.962,"(0.036, 0.054]"
1712,95765,0.134,0.866,"(0.083, 0.139]"
1718,32935,0.128,0.872,"(0.083, 0.139]"
1729,54701,0.018,0.982,"(0.012, 0.022]"
1743,10583,0.078,0.922,"(0.054, 0.083]"
1756,89014,0.195,0.8049999999999999,"(0.139, 0.278]"
1775,93454,0.7020000000000001,0.2979999999999999,"(0.278, 1.0]"
1780,30078,0.108,0.892,"(0.083, 0.139]"
1782,23803,0.046,0.954,"(0.036, 0.054]"
1783,39401,0.0279999999999999,0.972,"(0.022, 0.036]"
1792,77583,0.386,0.614,"(0.278, 1.0]"
1799,48221,0.009,0.991,"(0.002, 0.012]"
1817,30294,0.0559999999999999,0.944,"(0.054, 0.083]"
1819,29412,0.034,0.966,"(0.022, 0.036]"
1823,32258,0.066,0.934,"(0.054, 0.083]"
1832,46385,0.071,0.929,"(0.054, 0.083]"
1843,33624,0.368,0.632,"(0.278, 1.0]"
1848,28208,0.106,0.894,"(0.083, 0.139]"
1857,8094,0.096,0.904,"(0.083, 0.139]"
1866,77901,0.645,0.355,"(0.278, 1.0]"
1871,20032,0.044,0.956,"(0.036, 0.054]"
1877,7011,0.55,0.4499999999999999,"(0.278, 1.0]"
1879,76039,0.178,0.822,"(0.139, 0.278]"
1881,20748,0.09,0.91,"(0.083, 0.139]"
1884,92307,0.389,0.611,"(0.278, 1.0]"
1914,70506,0.094,0.906,"(0.083, 0.139]"
1925,47401,0.031,0.969,"(0.022, 0.036]"
1934,79705,0.3989999999999999,0.601,"(0.278, 1.0]"
1944,31909,0.11,0.89,"(0.083, 0.139]"
1946,77066,0.452,0.548,"(0.278, 1.0]"
1963,99508,0.129,0.871,"(0.083, 0.139]"
1966,78589,0.978,0.022,"(0.278, 1.0]"
1969,22903,0.0579999999999999,0.942,"(0.054, 0.083]"
1973,32404,0.078,0.922,"(0.054, 0.083]"
1980,21093,0.031,0.969,"(0.022, 0.036]"
1987,32216,0.186,0.814,"(0.139, 0.278]"
1988,97030,0.188,0.812,"(0.139, 0.278]"
2002,11222,0.144,0.856,"(0.139, 0.278]"
2025,30060,0.375,0.625,"(0.278, 1.0]"
2026,46224,0.2339999999999999,0.766,"(0.139, 0.278]"
2029,7731,0.144,0.856,"(0.139, 0.278]"
2037,78628,0.159,0.841,"(0.139, 0.278]"
2058,48706,0.044,0.956,"(0.036, 0.054]"
2061,75087,0.158,0.842,"(0.139, 0.278]"
2074,8080,0.043,0.957,"(0.036, 0.054]"
2075,86314,0.214,0.786,"(0.139, 0.278]"
2078,77074,0.581,0.419,"(0.278, 1.0]"
2079,93711,0.271,0.729,"(0.139, 0.278]"
2083,60090,0.286,0.714,"(0.278, 1.0]"
2116,92083,0.614,0.386,"(0.278, 1.0]"
2118,92672,0.2,0.8,"(0.139, 0.278]"
2127,48224,0.01,0.99,"(0.002, 0.012]"
2131,6513,0.477,0.5229999999999999,"(0.278, 1.0]"
2137,85392,0.455,0.5449999999999999,"(0.278, 1.0]"
2153,22033,0.094,0.906,"(0.083, 0.139]"
2161,94044,0.186,0.814,"(0.139, 0.278]"
2163,29150,0.053,0.947,"(0.036, 0.054]"
2181,98290,0.0559999999999999,0.944,"(0.054, 0.083]"
2190,95973,0.175,0.825,"(0.139, 0.278]"
2204,94954,0.226,0.774,"(0.139, 0.278]"
2205,28226,0.095,0.905,"(0.083, 0.139]"
2208,23321,0.038,0.962,"(0.036, 0.054]"
2212,20817,0.1159999999999999,0.884,"(0.083, 0.139]"
2219,75206,0.161,0.839,"(0.139, 0.278]"
2224,55016,0.043,0.957,"(0.036, 0.054]"
2240,80906,0.166,0.834,"(0.139, 0.278]"
2244,94590,0.345,0.655,"(0.278, 1.0]"
2250,32714,0.297,0.7030000000000001,"(0.278, 1.0]"
2253,30087,0.039,0.961,"(0.036, 0.054]"
2258,602,0.941,0.059,"(0.278, 1.0]"
2262,84095,0.08,0.92,"(0.054, 0.083]"
2263,30215,0.048,0.952,"(0.036, 0.054]"
2267,60031,0.144,0.856,"(0.139, 0.278]"
2300,3103,0.178,0.822,"(0.139, 0.278]"
2303,55369,0.057,0.943,"(0.054, 0.083]"
2317,40245,0.026,0.974,"(0.022, 0.036]"
2324,28562,0.0559999999999999,0.944,"(0.054, 0.083]"
2347,17112,0.023,0.977,"(0.022, 0.036]"
2351,95382,0.303,0.6970000000000001,"(0.278, 1.0]"
2354,30328,0.0559999999999999,0.944,"(0.054, 0.083]"
2355,27530,0.073,0.927,"(0.054, 0.083]"
2358,32812,0.358,0.642,"(0.278, 1.0]"
2374,78040,0.978,0.022,"(0.278, 1.0]"
2379,60060,0.331,0.669,"(0.278, 1.0]"
