ZIP,protected,not_protected,bin
37128,0.045,0.955,"(0.036, 0.054]"
33157,0.5710000000000001,0.42899999999999994,"(0.278, 1.0]"
33015,0.8540000000000001,0.1459999999999999,"(0.278, 1.0]"
90037,0.797,0.20299999999999996,"(0.278, 1.0]"
84015,0.14800000000000002,0.852,"(0.139, 0.278]"
77036,0.6459999999999999,0.3540000000000001,"(0.278, 1.0]"
11201,0.11800000000000001,0.882,"(0.083, 0.139]"
30096,0.23600000000000002,0.764,"(0.139, 0.278]"
92407,0.67,0.32999999999999996,"(0.278, 1.0]"
2301,0.131,0.869,"(0.083, 0.139]"
32218,0.059000000000000004,0.941,"(0.054, 0.083]"
19111,0.21600000000000003,0.784,"(0.139, 0.278]"
95624,0.17300000000000001,0.827,"(0.139, 0.278]"
78046,0.968,0.03200000000000003,"(0.278, 1.0]"
20002,0.081,0.919,"(0.054, 0.083]"
91402,0.706,0.29400000000000004,"(0.278, 1.0]"
14850,0.066,0.9339999999999999,"(0.054, 0.083]"
60640,0.136,0.864,"(0.083, 0.139]"
7087,0.799,0.20099999999999996,"(0.278, 1.0]"
11746,0.19699999999999998,0.803,"(0.139, 0.278]"
95020,0.565,0.43500000000000005,"(0.278, 1.0]"
30047,0.271,0.729,"(0.139, 0.278]"
75067,0.317,0.683,"(0.278, 1.0]"
92114,0.445,0.5549999999999999,"(0.278, 1.0]"
85301,0.634,0.366,"(0.278, 1.0]"
78045,0.932,0.06799999999999995,"(0.278, 1.0]"
33186,0.677,0.32299999999999995,"(0.278, 1.0]"
85204,0.43200000000000005,0.568,"(0.278, 1.0]"
953,0.988,0.01200000000000001,"(0.278, 1.0]"
17603,0.28,0.72,"(0.278, 1.0]"
77346,0.26,0.74,"(0.139, 0.278]"
93230,0.512,0.488,"(0.278, 1.0]"
80219,0.701,0.29900000000000004,"(0.278, 1.0]"
20011,0.222,0.778,"(0.139, 0.278]"
89110,0.622,0.378,"(0.278, 1.0]"
33033,0.705,0.29500000000000004,"(0.278, 1.0]"
11372,0.535,0.46499999999999997,"(0.278, 1.0]"
32822,0.6559999999999999,0.3440000000000001,"(0.278, 1.0]"
28078,0.071,0.929,"(0.054, 0.083]"
90262,0.883,0.11699999999999999,"(0.278, 1.0]"
48197,0.073,0.927,"(0.054, 0.083]"
23462,0.11800000000000001,0.882,"(0.083, 0.139]"
85281,0.228,0.772,"(0.139, 0.278]"
32210,0.091,0.909,"(0.083, 0.139]"
10472,0.604,0.396,"(0.278, 1.0]"
85383,0.113,0.887,"(0.083, 0.139]"
11706,0.418,0.5820000000000001,"(0.278, 1.0]"
94080,0.297,0.7030000000000001,"(0.278, 1.0]"
92630,0.265,0.735,"(0.139, 0.278]"
30135,0.08900000000000001,0.911,"(0.083, 0.139]"
94538,0.184,0.8160000000000001,"(0.139, 0.278]"
89121,0.452,0.548,"(0.278, 1.0]"
11434,0.106,0.894,"(0.083, 0.139]"
43123,0.022000000000000002,0.978,"(0.012, 0.022]"
94558,0.354,0.646,"(0.278, 1.0]"
30004,0.098,0.902,"(0.083, 0.139]"
66061,0.154,0.846,"(0.139, 0.278]"
98682,0.11199999999999999,0.888,"(0.083, 0.139]"
93906,0.752,0.248,"(0.278, 1.0]"
34711,0.188,0.812,"(0.139, 0.278]"
87120,0.5489999999999999,0.45100000000000007,"(0.278, 1.0]"
94513,0.23800000000000002,0.762,"(0.139, 0.278]"
21234,0.040999999999999995,0.959,"(0.036, 0.054]"
10701,0.473,0.527,"(0.278, 1.0]"
20878,0.11699999999999999,0.883,"(0.083, 0.139]"
11717,0.735,0.265,"(0.278, 1.0]"
95206,0.635,0.365,"(0.278, 1.0]"
20147,0.107,0.893,"(0.083, 0.139]"
11211,0.264,0.736,"(0.139, 0.278]"
90026,0.496,0.504,"(0.278, 1.0]"
10023,0.084,0.916,"(0.083, 0.139]"
75068,0.218,0.782,"(0.139, 0.278]"
11210,0.071,0.929,"(0.054, 0.083]"
10027,0.258,0.742,"(0.139, 0.278]"
29681,0.067,0.933,"(0.054, 0.083]"
33463,0.34700000000000003,0.653,"(0.278, 1.0]"
91977,0.45899999999999996,0.541,"(0.278, 1.0]"
89115,0.537,0.46299999999999997,"(0.278, 1.0]"
84096,0.081,0.919,"(0.054, 0.083]"
92801,0.591,0.40900000000000003,"(0.278, 1.0]"
23322,0.057999999999999996,0.942,"(0.054, 0.083]"
30022,0.09,0.91,"(0.083, 0.139]"
95758,0.221,0.779,"(0.139, 0.278]"
2148,0.085,0.915,"(0.083, 0.139]"
60402,0.616,0.384,"(0.278, 1.0]"
29072,0.046,0.954,"(0.036, 0.054]"
75243,0.22,0.78,"(0.139, 0.278]"
90022,0.966,0.03400000000000003,"(0.278, 1.0]"
94806,0.508,0.492,"(0.278, 1.0]"
956,0.992,0.008000000000000007,"(0.278, 1.0]"
11432,0.215,0.785,"(0.139, 0.278]"
75043,0.342,0.6579999999999999,"(0.278, 1.0]"
30188,0.102,0.898,"(0.083, 0.139]"
75150,0.47600000000000003,0.524,"(0.278, 1.0]"
94015,0.16899999999999998,0.831,"(0.139, 0.278]"
8753,0.09,0.91,"(0.083, 0.139]"
38401,0.08,0.92,"(0.054, 0.083]"
60651,0.395,0.605,"(0.278, 1.0]"
92677,0.155,0.845,"(0.139, 0.278]"
44256,0.027999999999999997,0.972,"(0.022, 0.036]"
75040,0.48200000000000004,0.518,"(0.278, 1.0]"
91343,0.612,0.388,"(0.278, 1.0]"
84404,0.23600000000000002,0.764,"(0.139, 0.278]"
60628,0.043,0.957,"(0.036, 0.054]"
77386,0.222,0.778,"(0.139, 0.278]"
43081,0.028999999999999998,0.971,"(0.022, 0.036]"
92703,0.775,0.22499999999999998,"(0.278, 1.0]"
33178,0.8190000000000001,0.18099999999999994,"(0.278, 1.0]"
75098,0.2,0.8,"(0.139, 0.278]"
7093,0.743,0.257,"(0.278, 1.0]"
75056,0.18600000000000003,0.814,"(0.139, 0.278]"
92404,0.6729999999999999,0.32700000000000007,"(0.278, 1.0]"
612,0.992,0.008000000000000007,"(0.278, 1.0]"
20019,0.038,0.962,"(0.036, 0.054]"
32808,0.16,0.84,"(0.139, 0.278]"
92562,0.337,0.663,"(0.278, 1.0]"
93905,0.934,0.06599999999999995,"(0.278, 1.0]"
10312,0.12300000000000001,0.877,"(0.083, 0.139]"
10024,0.11599999999999999,0.884,"(0.083, 0.139]"
78640,0.585,0.41500000000000004,"(0.278, 1.0]"
19143,0.045,0.955,"(0.036, 0.054]"
40475,0.026000000000000002,0.974,"(0.022, 0.036]"
75071,0.156,0.844,"(0.139, 0.278]"
85308,0.14300000000000002,0.857,"(0.139, 0.278]"
95608,0.159,0.841,"(0.139, 0.278]"
33313,0.113,0.887,"(0.083, 0.139]"
32244,0.139,0.861,"(0.083, 0.139]"
78574,0.971,0.029000000000000026,"(0.278, 1.0]"
94501,0.134,0.866,"(0.083, 0.139]"
77072,0.49,0.51,"(0.278, 1.0]"
28215,0.191,0.8089999999999999,"(0.139, 0.278]"
60619,0.016,0.984,"(0.012, 0.022]"
42101,0.07400000000000001,0.9259999999999999,"(0.054, 0.083]"
30062,0.065,0.935,"(0.054, 0.083]"
21740,0.081,0.919,"(0.054, 0.083]"
30331,0.013999999999999999,0.986,"(0.012, 0.022]"
92201,0.7290000000000001,0.2709999999999999,"(0.278, 1.0]"
74012,0.1,0.9,"(0.083, 0.139]"
